"SKU","ID","Tipo","Nombre","Precio normal","_bgm_min_1","_bgm_descuento_1","_bgm_min_2","_bgm_descuento_2","_bgm_modo_descuento","reglas"
"8588988783891","19859","simple","Cinta Transparente Para Extensiones De Pestañas","1000","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"8800577000586","22362","variable","Cintillo Con Lazo Mb:81002","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981087613","27942","variable","Cintillo de cabello con perlas 12cm","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981101760","27954","simple","Cintillo de cabello elastico Ref:110176","1000,00","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"7822456136507","20754","variable","Cintillo De Lazo Con Flores Ref: 13650","","3","500","12","900","unico","#19 Descuento lote 500 ; #88 Descuento Nivel II lote 900"
"7822456142010","20743","variable","Cintillo De Lazo Con Puntos Ref:14201","","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"7822456163459","21056","variable","Cintillo De Spa Conejito","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588988810702","21269","variable","Cintillo De Spa De Osito Ref:81070","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981156937","29741","variable","Cintillo de tela Animal print Ref:115693","","3","400","12","800","unico","#14 Descuento lote 400 ; #83 Descuento Nivel II lote 800"
"8588981101463-1","29746","simple","Cintillo de tela negro Ref:110142","1000","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"8588988992644","23279","simple","Cintillo De Tela Negro Ref:99264","1000","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"8588981101463","29740","simple","Cintillo de tela rosado Ref:110146","1000","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"7822456147886","20749","variable","Cintillo Estampado Flores Ref:14788","","3","500","12","900","unico","#19 Descuento lote 500 ; #88 Descuento Nivel II lote 900"
"8588988577254-5","1651","simple","Cintillo Spa Animal Print","2100","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981119673","29877","variable","Cintillo Spa Animalitos Ref: 111967","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981202917","32347","variable","Cintillo Spa Capibara Ref: 120291","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"MG00012","2140","simple","Cintillo Spa Cool","2100","3","500",,,"unico","#19 Descuento lote 500"
"6888880001560-3","3899","simple","Cintillo Spa Corazones","2200","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"6888880001560-5","3547","variable","Cintillo Spa De Frutilla","","3","500",,,"unico","#19 Descuento lote 500"
"7822456146124","23751","variable","Cintillo Spa De Lazo Con Perlas","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"7822456152088","23732","variable","Cintillo Spa Lazo Con Malla","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981143722","29913","variable","Cintillo Spa Nube Ref: 114372","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588988810634","25398","simple","Cintillo Spa Ositos Ref:81063","1990,00","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588988577254-6","1642","simple","Cintillo Spa Rayas","2100","3","700","12","900","unico","#28 Descuento lote 700 ; #88 Descuento Nivel II lote 900"
"9669669610411","26739","variable","Cintillo spa Sanrio","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588988669553","16818","variable","Cintillos Conejo Para Niña","","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"8588988669492","16798","variable","Cintillos Corona Para Niña","","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"8588988652326","16838","variable","Cintillos De Cabello Minie Ref:65626","","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"8588988656263","16836","variable","Cintillos De Cabello Niña Ref:65626","","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"8588988639600","17690","simple","Cintillos De Lazo Ref:63960","1000","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"8588988601713","18581","simple","Cintillos De Lazo Set De 2. Ref :60171","1700","3","500","12","800","unico","#19 Descuento lote 500 ; #83 Descuento Nivel II lote 800"
"8588988923754","24773","simple","Cintillos Elasticos 6 Unid","1390","3","400","12","700","unico","#14 Descuento lote 400 ; #77 Descuento Nivel II lote 700"
"8588988923617","24774","simple","Cintillos Elasticos Con Cole 12 Pcs Blanco Y Negro","1390","3","400","12","700","unico","#14 Descuento lote 400 ; #77 Descuento Nivel II lote 700"
"8588988923600","24775","simple","Cintillos Elasticos Con Cole 12 Pcs Color Negros","1390","3","400","12","700","unico","#14 Descuento lote 400 ; #77 Descuento Nivel II lote 700"
"8588988669645","16819","variable","Cintillos Kitty Para Niña","","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"77377617615197","16339","simple","Cirugia Capilar Cera Fria 3 Pasos 1000Ml","23000","3","3000",,,"unico","#50 Descuento lote 3000"
"77377763990317","16338","simple","Cirugia Capilar Cera Fria 3 Pasos 500Ml","18000","3","4000",,,"unico","#51 Descuento lote 4000"
"77401452917188","18982","simple","Cirugía Capilar Copacabana  Cacao Liss","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"77392954451268","18980","simple","Cirugía Capilar Copacabana Biotina-Vitamina E","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"77401513192147","18979","simple","Cirugía Capilar Copacabana Mascara Intensiva","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"77393156169438","18981","simple","Cirugía Capilar Copacabana Rizos Definidos","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"69318480720245","40116","simple","Cirugía Capilar Crema De Hidratación Copacabana 500ml","3490","3","800","12","1500","unico","#31 Descuento lote 800 ; #113 Descuento Nivel II lote 1500"
"77377548448972","22385","simple","Cirugia Capilar Natura Liss 1 Litro Sin Formol","23000","3","3000",,,"unico","#50 Descuento lote 3000"
"77377870084018","22386","simple","Cirugia Capilar Natura Liss 500Ml Sin Formol","18000","3","4000",,,"unico","#51 Descuento lote 4000"
"MG00COFIAS","22421","simple","Cofias De Cabello Rosadas 50 Unidades","2690","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588988955878","25386","simple","Cole Con Lazo Pequeño Ref:95587","900,00","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"8588981023789","27944","variable","Cole de cabello 15cm ref:102378","","3","400","12","800","unico","#14 Descuento lote 400 ; #83 Descuento Nivel II lote 800"
"8588981074729","27948","variable","Cole de cabello 17cm Ref:107472","","3","400","12","800","unico","#14 Descuento lote 400 ; #83 Descuento Nivel II lote 800"
"8588988955755","28195","simple","Cole de cabello con lazo Ref:95577","900,00","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
"8588981001732","25374","variable","Cole De Cabello Con Puntos Ref:100173","","3","400","12","750","unico","#14 Descuento lote 400 ; #81 Descuento Nivel II lote 750"
"8588981065956","29729","variable","Cole de cabello decorativo Ref:106595","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981129436","29728","variable","Cole de cabello decorativo Ref:112943","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981129597","29703","variable","Cole de cabello decorativo Ref:112959","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981140141","29708","variable","Cole de cabello decorativo Ref:114014","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981159464","29705","variable","Cole de cabello decorativo Ref:115946","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981159471","29707","variable","Cole de cabello decorativo Ref:115947","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981159518","29701","variable","Cole de cabello decorativo Ref:115951","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981159778","29700","variable","Cole de cabello decorativo Ref:115977","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981159839","29727","variable","Cole de cabello decorativo Ref:115983","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981159877","29702","variable","Cole de cabello decorativo Ref:115987","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981159990","29706","variable","Cole de cabello decorativo Ref:115999","","3","500","12","1000","unico","#19 Descuento lote 500 ; #95 Descuento Nivel II lote 1000"
"8588981018013","27928","variable","Cole de cabello ref: 101801","","3","250","12","500","unico","#8 Descuento lote 250 ; #66 Descuento Nivel II lote 500"
